document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2016-28922,12/02/2016,Softwood lumber products,"['4407.10.01', '4409.10.05', '4409.10.10', '4409.10.20', '4409.10.90', '4418.90.25', '4415.20.40', '4415.20.80', '4418.90.46', '4421.90.70', '4421.90.94', '4421.90.97']",['Canada'],https://www.federalregister.gov/documents/2016/12/02/2016-28922/softwood-lumber-products-from-canada-institution-of-antidumping-and-countervailing-duty,Softwood Lumber Products From Canada; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2016-28485,11/28/2016,Hardwood plywood,[],['China'],https://www.federalregister.gov/documents/2016/11/28/2016-28485/hardwood-plywood-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Hardwood Plywood From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2016-23207,09/27/2016,Steel concrete reinforcing bar (rebar),"['7213.10.00', '7214.20.00', '7228.30.80']","['Japan', 'Taiwan', 'Turkey']",https://www.federalregister.gov/documents/2016/09/27/2016-23207/steel-concrete-reinforcing-bar-rebar-from-japan-taiwan-and-turkey-institution-of-antidumping-and,"Steel Concrete Reinforcing Bar (Rebar) From Japan, Taiwan, and Turkey; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2016-17713,07/27/2016,Emulsion styrene-butadiene rubber,['4002.19.00'],"['Brazil', 'Korea', 'Mexico', 'Poland']",https://www.federalregister.gov/documents/2016/07/27/2016-17713/emulsion-styrene-butadiene-rubber-from-brazil-korea-mexico-and-poland-institution-of-antidumping,"Emulsion Styrene-Butadiene Rubber From Brazil, Korea, Mexico, and Poland; Institution of Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2016-16062,07/07/2016,Dioctyl terephthalate (dotp),['2917.39.20'],['Korea'],https://www.federalregister.gov/documents/2016/07/07/2016-16062/dioctyl-terephthalate-dotp-from-korea-institution-of-antidumping-duty-investigation-and-scheduling,Dioctyl Terephthalate (DOTP) From Korea; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2016-16057,07/07/2016,Finished carbon steel flanges,['7307.91.50'],"['India', 'Italy', 'Spain']",https://www.federalregister.gov/documents/2016/07/07/2016-16057/finished-carbon-steel-flanges-from-india-italy-and-spain-institution-of-antidumping-and,"Finished Carbon Steel Flanges From India, Italy, and Spain; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2016-12815,06/01/2016,Ammonium sulfate,['3102.21.00'],['China'],https://www.federalregister.gov/documents/2016/06/01/2016-12815/ammonium-sulfate-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Ammonium Sulfate From China; Institution of Antidumping and Countervailing Duty; Investigations and Scheduling of Preliminary Phase Investigations
 2016-07416,04/01/2016,Ferrovanadium,['7202.92.00'],['Korea'],https://www.federalregister.gov/documents/2016/04/01/2016-07416/ferrovanadium-from-korea-institution-of-antidumping-duty-investigation-and-scheduling-of-preliminary,Ferrovanadium From Korea; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2016-07987,04/07/2016,"1-hydroxyethylidene-1, 1-diphosphonic acid",['2931.90.90'],['China'],https://www.federalregister.gov/documents/2016/04/07/2016-07987/1-hydroxyethylidene-1-1-diphosphonic-acid-from-china-institution-of-antidumping-and-countervailing,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2016-08543,04/14/2016,Certain carbon and alloy steel cut-to-length plate,[],"['Austria', 'Belgium', 'Brazil', 'China', 'France', 'Germany', 'Italy', 'Japan', 'Korea', 'South africa', 'Taiwan', 'Turkey']",https://www.federalregister.gov/documents/2016/04/14/2016-08543/certain-carbon-and-alloy-steel-cut-to-length-plate-from-austria-belgium-brazil-china-france-germany,"Certain Carbon and Alloy Steel Cut-to-Length Plate From Austria, Belgium, Brazil, China, France, Germany, Italy, Japan, Korea, South Africa, Taiwan, and Turkey; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
